Treatment,Group,Assay,IID (cm),Time Thigmotaxis (s),Distance Moved (cm)
Control Light,1,Baseline,9.846565,482.9108,5209.612
Control Light,1,Test,7.8297,369.777,4111.326
Control Light,2,Baseline,7.508644,492.0696,5911.69
Control Light,2,Test,7.095889,406.2522,5577.328
Control Light,3,Baseline,10.197701,514.9946,6372.734
Control Light,3,Test,10.698376,499.811,4710.31
Control Light,4,Baseline,8.828205,550.0946,6132.378
Control Light,4,Test,6.141887,524.6946,5356.514
Control Light,5,Baseline,9.427559,498.011,7322.3
Control Light,5,Test,6.675422,462.5608,5893.464
Control Light,6,Baseline,8.792382,522.028,5497.618
Control Light,6,Test,6.645399,504.703,4671.078
Control Light,7,Baseline,5.547338,464.8942,4982.744
Control Light,7,Test,5.324655,500.961,3930.25
Control Light,8,Baseline,7.884657,495.0528,5514.928
Control Light,8,Test,5.37741,459.011,4884.118
Control Dark,1,Baseline,11.76644,498.011,5565.052
Control Dark,1,Test,17.76673,504.8114,4247.148
Control Dark,2,Baseline,9.693612,481.8026,7099.068
Control Dark,2,Test,17.38502,459.7692,5419.426
Control Dark,3,Baseline,12.67563,516.6194,6987.8
Control Dark,3,Test,16.52762,549.0944,6081.502
Control Dark,4,Baseline,7.44043,534.7112,6045.814
Control Dark,4,Test,15.03277,447.6858,5996.968
Control Dark,5,Baseline,7.755263,451.9192,6295.776
Control Dark,5,Test,14.29866,518.8114,5188.34
Control Dark,6,Baseline,9.951549,443.2442,5511.5
Control Dark,6,Test,14.74535,543.2198,4834.76
Control Dark,7,Baseline,6.817978,511.8862,4410.36
Control Dark,7,Test,15.53728,514.2696,5241.666
Control Dark,8,Baseline,,,
Control Dark,8,Test,,,
CoCl2 Light,1,Baseline,8.689345,409.094,6255.372
CoCl2 Light,1,Test,7.963148,336.8934,3181.778
CoCl2 Light,2,Baseline,11.26062,471.3776,6275.25
CoCl2 Light,2,Test,8.105002,425.694,4778.67
CoCl2 Light,3,Baseline,9.153217,352.5186,6021.908
CoCl2 Light,3,Test,8.163239,294.4432,4341.754
CoCl2 Light,4,Baseline,12.48278,432.7192,6127.568
CoCl2 Light,4,Test,9.361881,352.877,4015.228
CoCl2 Light,5,Baseline,12.80531,507.9696,4693.556
CoCl2 Light,5,Test,9.45063,385.444,3280.264
CoCl2 Light,6,Baseline,9.743131,502.978,4876.828
CoCl2 Light,6,Test,9.536488,383.7686,4147.588
CoCl2 Light,7,Baseline,12.11332,400.4276,6742.202
CoCl2 Light,7,Test,9.898285,417.4442,5702.644
CoCl2 Light,8,Baseline,9.954277,395.2356,4207.056
CoCl2 Light,8,Test,7.84693,460.1028,5071.03
CoCl2 Dark,1,Baseline,9.966076,260.3098,4928.548
CoCl2 Dark,1,Test,12.00988,238.4764,6046.792
CoCl2 Dark,2,Baseline,9.159018,329.36,4142.506
CoCl2 Dark,2,Test,15.63634,526.978,5581.232
CoCl2 Dark,3,Baseline,11.189211,370.4436,3759.97
CoCl2 Dark,3,Test,11.12887,330.6934,5668.14
CoCl2 Dark,4,Baseline,10.16756,487.0024,5967.746
CoCl2 Dark,4,Test,15.05969,468.0862,4265.248
CoCl2 Dark,5,Baseline,11.95638,501.711,5904.97
CoCl2 Dark,5,Test,17.01448,506.1946,6848.38
CoCl2 Dark,6,Baseline,9.515483,468.8944,5449.756
CoCl2 Dark,6,Test,14.72373,510.8612,5992.416
CoCl2 Dark,7,Baseline,8.088726,462.6276,5792.306
CoCl2 Dark,7,Test,16.17096,502.7694,6522.37
CoCl2 Dark,8,Baseline,13.2557,461.0024,6579.94
CoCl2 Dark,8,Test,13.52812,384.3274,6121.588
